2017-02-02,2017-02-18,2017-03-06,2017-03-22,2017-04-07,2017-04-23,2017-05-09,2017-05-25,2017-06-10,2017-06-26,2017-07-12,2017-07-28,2017-08-13,2017-08-29,2017-09-14,2017-09-30,2017-10-16,2017-11-01,2017-11-17,2017-12-03,2017-12-19,2018-01-01,2018-01-17,desvio,lat,long
0.1417,0.1508,0.1559,0.1382,0.3797,0.6564,0.7492,0.6462,0.5663,0.5343,0.435,0.2697,0.2025,0.1539,0.1904,0.3449,0.4204,0.7229,0.7681,0.2759,0.162,0.1766,0.1618,0.2243500465772394,-45.55902089336132,-14.359194929688703
0.6958,0.2607,0.1635,0.1442,0.1419,0.2372,0.6403,0.6972,0.6963,0.5873,0.4779,0.3684,0.2377,0.2005,0.2495,0.1792,0.1473,0.6035,0.8064,0.8226,0.8207,0.857,0.8301,0.2725494167035669,-45.938209646967785,-13.704882738225045
0.1253,0.1591,0.2464,0.4736,0.7542,0.8807,0.8747,0.7999,0.7815,0.695,0.4327,0.3947,0.2634,0.2547,0.2604,0.2267,0.2094,0.1577,0.2469,0.4558,0.798,0.924,0.9002,0.28900560520844093,-45.517017362547215,-14.363087679606911
0.2329,0.1454,0.1574,0.2762,0.7014,0.8264,0.7285,0.71,0.7091,0.5974,0.29,0.2027,0.1984,0.1624,0.2291,0.3216,0.5576,0.834,0.7353,0.2594,0.2049,0.1574,0.1846,0.2565631161511139,-45.55452244283651,-14.396636640084555
0.1048,0.1979,0.0978,0.0933,0.1044,0.0819,0.1535,0.3116,0.6484,0.7712,0.715,0.6648,0.6317,0.3583,0.2894,0.2029,0.2157,0.0921,0.0827,0.0935,0.0877,0.1353,0.1132,0.23740929043693876,-45.55820163051747,-14.753031441938074
0.1526,0.1343,0.1384,0.1578,0.3553,0.4863,0.7784,0.842,0.8481,0.8005,0.6933,0.5916,0.4134,0.2863,0.2862,0.2468,0.1202,0.1368,0.4462,0.7602,0.7301,0.6517,0.4983,0.263021876861051,-45.535266092337075,-14.314766111282962
0.5751,0.1599,0.1701,0.1283,0.1998,0.146,0.2309,0.4584,0.7657,0.7921,0.7702,0.6472,0.6364,0.4969,0.4187,0.2602,0.1807,0.1823,0.2104,0.3193,0.8417,0.9507,0.8925,0.2808353066944504,-45.55004349871112,-14.778546750868266
0.383,0.4883,0.467,0.2645,0.1932,0.1639,0.2977,0.5619,0.9081,0.8812,0.7965,0.5883,0.1602,0.1487,0.1622,0.1455,0.1438,0.1385,0.1797,0.2408,0.3428,0.8146,0.7517,0.2694454384625956,-45.43659046698711,-14.282418330498267
0.8098,0.5651,0.3845,0.1545,0.1548,0.3093,0.7064,0.7013,0.7065,0.5983,0.4487,0.323,0.2353,0.1763,0.1465,0.1349,0.1752,0.187,0.5623,0.8539,0.9283,0.8663,0.7007,0.27484348265963,-45.452822408423174,-14.2628582876032
0.116,0.1281,0.2362,0.4975,0.7857,0.9415,0.8703,0.851,0.8162,0.6817,0.4372,0.3012,0.263,0.1424,0.1297,0.2648,0.4209,0.6916,0.6897,0.5634,0.4546,0.3491,0.2446,0.2697902456359685,-45.53716331104707,-14.352193207529988
0.7722,0.1316,0.1624,0.2189,0.3954,0.7378,0.8291,0.811,0.8308,0.7674,0.6595,0.4874,0.3565,0.2679,0.1681,0.1316,0.1759,0.7061,0.7872,0.4732,0.897,0.8079,0.4231,0.2763768637033749,-45.464506426837,-14.264463288824238
0.3702,0.1419,0.1511,0.1437,0.2903,0.467,0.6625,0.4984,0.7789,0.7474,0.6326,0.5619,0.377,0.2644,0.2529,0.1916,0.1079,0.2485,0.6009,0.9916,0.9835,0.8549,0.7152,0.2794395395162597,-45.553659998432046,-14.328828526122805
0.1628,0.118,0.1283,0.1847,0.3496,0.4331,0.6391,0.7124,0.6666,0.6652,0.4893,0.3808,0.2316,0.2181,0.2511,0.204,0.1803,0.1869,0.2264,0.2992,0.7269,0.8779,0.8439,0.24793659124992506,-45.52555033032308,-14.38314076980206
0.2343,0.2211,0.3318,0.6526,0.815,0.9125,0.8466,0.7819,0.7255,0.5045,0.3304,0.2702,0.1816,0.1256,0.1581,0.3813,0.1791,0.213,0.2879,0.9509,0.8735,0.9555,0.8903,0.30912927550190394,-45.49373661636311,-14.277424304728447
0.8945,0.7934,0.2507,0.1648,0.2124,0.1608,0.5207,0.7438,0.7525,0.5952,0.5666,0.5149,0.4132,0.2273,0.2135,0.1515,0.1687,0.4445,0.5107,0.9174,0.5824,0.7362,0.8229,0.26023800796677227,-45.94831098699338,-13.664159164836507
