2017-11-01,2017-11-17,2017-12-03,2017-12-19,2018-01-01,2018-01-17,2018-02-02,2018-02-18,2018-03-06,2018-03-22,desvio,lat,long
0.4242,0.4588,0.4698,0.1612,0.1651,0.4597,0.5999,0.6552,0.4421,0.5901,0.16650792740554093,-2.9170625358828848,-43.09522523021178
0.5187,0.5417,0.5423,0.1037,0.5547,0.2364,0.4948,0.6261,0.5051,0.6156,0.16862823969377794,-2.8724830253537608,-43.0408030023064
0.2171,0.2658,0.2467,0.3271,0.3003,0.2054,0.6109,0.6896,0.4179,0.3187,0.16577214784154787,-3.122041000296643,-44.351112716392386
0.6458,0.5068,0.4404,0.2143,0.2143,0.2093,0.4022,0.4335,0.5957,0.6677,0.17606513314995423,-2.578658639462187,-44.26142069676506
0.229,0.4598,0.4034,0.308,0.3334,0.4375,0.3431,-0.3,0.4137,0.4986,0.2294877011955107,-2.7186735526382084,-44.22517375156247
0.5304,0.54,0.48,0.2462,0.1175,0.4811,0.1578,0.7922,0.2183,0.624,0.22241078236252648,-2.935599177091862,-43.149020842036535
0.3729,0.4622,0.3387,0.1663,0.1398,0.5552,0.4938,0.2121,0.7663,0.4615,0.19342904412499975,-3.1106187804591823,-44.313862579552314
0.4283,0.4705,0.3482,0.6399,0.1747,0.4746,0.6476,0.2406,0.6404,0.6872,0.1803611685233579,-3.0755412910118785,-43.13003064762774
0.4727,0.5392,0.5225,0.1001,0.3988,0.2031,0.5144,0.4097,0.5431,0.6067,0.16163559185883397,-2.5804061529472806,-43.72823239901762
0.1494,0.409,0.5401,0.1278,0.1957,0.5329,0.1942,0.1994,0.4686,0.4373,0.1663672056359399,-2.5246466758492616,-43.3678674425881
0.2286,0.2026,0.2628,0.1739,0.1954,0.2888,0.5806,0.553,0.5053,0.6318,0.18231019841041382,-3.2097235291563497,-44.03664768232178
0.3119,0.2916,0.4514,0.1388,0.0553,0.4613,0.5502,0.1662,0.2246,0.5655,0.1785724303717931,-2.5894858239770926,-44.214325228348685
